"filename", "language", "HTML", "CSS", "JavaScript", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\about.html", "HTML", 171, 0, 0, 0, 0, 0, 102, 13, 286
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\account.html", "HTML", 245, 0, 0, 0, 0, 0, 78, 17, 340
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\agent-account.html", "HTML", 242, 0, 0, 0, 0, 0, 78, 19, 339
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\caseCreation.html", "HTML", 294, 0, 0, 0, 0, 0, 24, 54, 372
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\editProfile.html", "HTML", 144, 0, 0, 0, 0, 0, 5, 9, 158
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\images\appstore.svg", "XML", 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\images\googleplay.svg", "XML", 0, 0, 0, 52, 0, 0, 0, 1, 53
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\images\logo.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\images\play-button.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\images\why-lease-1.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\images\why-lease-2.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\images\why-lease-3.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\images\why-lease-4.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\index.html", "HTML", 240, 0, 0, 0, 0, 0, 84, 16, 340
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\payout.html", "HTML", 216, 0, 0, 0, 0, 0, 24, 36, 276
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\policyCreation.html", "HTML", 220, 0, 0, 0, 0, 0, 24, 35, 279
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\privacyPolicy.html", "HTML", 171, 0, 0, 0, 0, 0, 78, 21, 270
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\register.html", "HTML", 193, 0, 0, 0, 0, 0, 6, 18, 217
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\report.html", "HTML", 33, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\about.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 33, 159
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\account.js", "JavaScript", 0, 0, 816, 0, 0, 0, 140, 223, 1179
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\agent-account.js", "JavaScript", 0, 0, 408, 0, 0, 0, 78, 118, 604
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\agent-auth-check.js", "JavaScript", 0, 0, 24, 0, 0, 0, 1, 4, 29
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\caseCreation.js", "JavaScript", 0, 0, 206, 0, 0, 0, 4, 48, 258
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\client-auth-check.js", "JavaScript", 0, 0, 24, 0, 0, 0, 1, 4, 29
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\editProfile.js", "JavaScript", 0, 0, 214, 0, 0, 0, 10, 64, 288
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\bower.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\jquery.mCustomScrollbar.concat.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 2, 0, 5
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\jquery.mCustomScrollbar.css", "CSS", 0, 812, 0, 0, 0, 0, 113, 343, 1268
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\jquery.mCustomScrollbar.js", "JavaScript", 0, 0, 1629, 0, 0, 0, 587, 242, 2458
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\jquery.mCustomScrollbar.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\minified\jquery-1.11.0.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\karen\OneDrive\Рабочий стол\врстк\Курсовя работа (Веб)\script\malihu-custom-scrollbar-plugin-master\js\minified\jquery-1.9.1.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 2, 0, 5
